35,78,0
29,43,0
36,74,0
60,87,1
79,75,1
44,57,0
62,97,1
76,46,1
78,87,1
84,43,1
94,38,0
74,32,0
84,76,1
68,97,1
40,75,0
54,88,1
71,53,1
66,46,0
70,94,1
76,47,1
70,42,0
91,67,1
52,50,0
33,44,0
77,67,1
62,70,1
81,45,1
93,39,0
63,50,0
37,65,0
61,73,1
85,56,1
51,62,0
53,69,1
41,71,0
55,52,0
33,99,0
65,78,1
75,41,0
34,76,0
84,55,1
51,48,0
93,66,1
82,41,0
50,46,0
61,50,0
76,70,1
97,88,1
60,97,1
93,89,1
80,73,1
99,61,1
91,44,1
34,61,0
51,49,0
49,60,0
97,71,1
34,93,0
74,72,1
71,79,1
75,87,1
34,45,0
55,39,0
33,49,0
46,67,0
67,39,0
39,98,1
48,51,0
80,92,1
68,62,1
31,44,0
62,79,1
71,97,1
61,72,1
59,76,1
100,71,1
47,87,1
51,77,1
60,43,0
83,43,0
88,71,1
95,46,1
66,67,1
57,61,1
81,92,1
70,86,1
41,78,0
77,90,1
79,98,1
52,59,0
94,77,1
90,86,1
55,37,0
75,86,1
90,45,1
84,48,1
44,85,1
100,69,1
55,63,1
75,87,1
